simulacao,coluna,teste,onde,resultado
1,age,shapiro,amostra_1,False
1,age,shapiro,amostra_2,False
1,age,shapiro,amostra_3,False
1,bmi,shapiro,amostra_1,False
1,bmi,shapiro,amostra_2,False
1,bmi,shapiro,amostra_3,False
1,systolic_bp,shapiro,amostra_1,False
1,systolic_bp,shapiro,amostra_2,False
1,systolic_bp,shapiro,amostra_3,False
1,cholesterol_total,shapiro,amostra_1,False
1,cholesterol_total,shapiro,amostra_2,False
1,cholesterol_total,shapiro,amostra_3,False
1,mmse,shapiro,amostra_1,False
1,mmse,shapiro,amostra_2,False
1,mmse,shapiro,amostra_3,False
1,adl,shapiro,amostra_1,False
1,adl,shapiro,amostra_2,False
1,adl,shapiro,amostra_3,False
1,age,kruskal,amostra_1_vs_amostra_2,True
1,age,kruskal,amostra_1_vs_amostra_3,True
1,age,kruskal,amostra_2_vs_amostra_3,True
1,bmi,kruskal,amostra_1_vs_amostra_2,True
1,bmi,kruskal,amostra_1_vs_amostra_3,True
1,bmi,kruskal,amostra_2_vs_amostra_3,True
1,systolic_bp,kruskal,amostra_1_vs_amostra_2,True
1,systolic_bp,kruskal,amostra_1_vs_amostra_3,True
1,systolic_bp,kruskal,amostra_2_vs_amostra_3,True
1,cholesterol_total,kruskal,amostra_1_vs_amostra_2,True
1,cholesterol_total,kruskal,amostra_1_vs_amostra_3,True
1,cholesterol_total,kruskal,amostra_2_vs_amostra_3,True
1,mmse,kruskal,amostra_1_vs_amostra_2,True
1,mmse,kruskal,amostra_1_vs_amostra_3,True
1,mmse,kruskal,amostra_2_vs_amostra_3,True
1,adl,kruskal,amostra_1_vs_amostra_2,True
1,adl,kruskal,amostra_1_vs_amostra_3,True
1,adl,kruskal,amostra_2_vs_amostra_3,True
1,age,pearson,amostra_1,"[0, 1, 1, 1, 1, 1]"
1,age,pearson,amostra_2,"[0, 0, 1, 1, 1, 0]"
1,age,pearson,amostra_3,"[0, 1, 1, 1, 1, 0]"
1,bmi,pearson,amostra_1,"[1, 0, 1, 1, 1, 1]"
1,bmi,pearson,amostra_2,"[0, 0, 1, 1, 1, 1]"
1,bmi,pearson,amostra_3,"[1, 0, 1, 1, 1, 1]"
1,systolic_bp,pearson,amostra_1,"[1, 1, 0, 1, 1, 1]"
1,systolic_bp,pearson,amostra_2,"[1, 1, 0, 1, 1, 1]"
1,systolic_bp,pearson,amostra_3,"[1, 1, 0, 1, 1, 1]"
1,cholesterol_total,pearson,amostra_1,"[1, 1, 1, 0, 1, 1]"
1,cholesterol_total,pearson,amostra_2,"[1, 1, 1, 0, 1, 1]"
1,cholesterol_total,pearson,amostra_3,"[1, 1, 1, 0, 1, 1]"
1,mmse,pearson,amostra_1,"[1, 1, 1, 1, 0, 1]"
1,mmse,pearson,amostra_2,"[1, 1, 1, 1, 0, 1]"
1,mmse,pearson,amostra_3,"[1, 1, 1, 1, 0, 1]"
1,adl,pearson,amostra_1,"[1, 1, 1, 1, 1, 0]"
1,adl,pearson,amostra_2,"[0, 1, 1, 1, 1, 0]"
1,adl,pearson,amostra_3,"[0, 1, 1, 1, 1, 0]"
1,age,shapiro,validacao,False
1,bmi,shapiro,validacao,False
1,systolic_bp,shapiro,validacao,False
1,cholesterol_total,shapiro,validacao,False
1,mmse,shapiro,validacao,False
1,adl,shapiro,validacao,False
1,age,kruskal,validacao_vs_amostra_1,True
1,age,kruskal,validacao_vs_amostra_2,True
1,age,kruskal,validacao_vs_amostra_3,True
1,bmi,kruskal,validacao_vs_amostra_1,True
1,bmi,kruskal,validacao_vs_amostra_2,True
1,bmi,kruskal,validacao_vs_amostra_3,True
1,systolic_bp,kruskal,validacao_vs_amostra_1,True
1,systolic_bp,kruskal,validacao_vs_amostra_2,False
1,systolic_bp,kruskal,validacao_vs_amostra_3,True
1,cholesterol_total,kruskal,validacao_vs_amostra_1,True
1,cholesterol_total,kruskal,validacao_vs_amostra_2,True
1,cholesterol_total,kruskal,validacao_vs_amostra_3,True
1,mmse,kruskal,validacao_vs_amostra_1,True
1,mmse,kruskal,validacao_vs_amostra_2,True
1,mmse,kruskal,validacao_vs_amostra_3,True
1,adl,kruskal,validacao_vs_amostra_1,True
1,adl,kruskal,validacao_vs_amostra_2,True
1,adl,kruskal,validacao_vs_amostra_3,True
1,age,pearson,validacao,"[0, 1, 1, 1, 1, 1]"
1,bmi,pearson,validacao,"[1, 0, 1, 1, 1, 1]"
1,systolic_bp,pearson,validacao,"[1, 1, 0, 1, 1, 0]"
1,cholesterol_total,pearson,validacao,"[1, 1, 1, 0, 1, 1]"
1,mmse,pearson,validacao,"[1, 1, 1, 1, 0, 1]"
1,adl,pearson,validacao,"[1, 1, 0, 1, 1, 0]"
2,age,shapiro,amostra_1,False
2,age,shapiro,amostra_2,False
2,age,shapiro,amostra_3,False
2,bmi,shapiro,amostra_1,False
2,bmi,shapiro,amostra_2,False
2,bmi,shapiro,amostra_3,False
2,systolic_bp,shapiro,amostra_1,False
2,systolic_bp,shapiro,amostra_2,False
