simulacao,coluna,teste,onde,p_valor
1,age,shapiro,amostra_1,1.969001628410183e-10
1,age,shapiro,amostra_2,1.3359443759575207e-11
1,age,shapiro,amostra_3,2.0945807588379495e-11
1,bmi,shapiro,amostra_1,1.2752869593679605e-10
1,bmi,shapiro,amostra_2,7.81834527674441e-11
1,bmi,shapiro,amostra_3,1.3246266583610833e-10
1,systolic_bp,shapiro,amostra_1,2.6942899300497203e-11
1,systolic_bp,shapiro,amostra_2,5.0014575814216755e-11
1,systolic_bp,shapiro,amostra_3,7.408795799079826e-12
1,cholesterol_total,shapiro,amostra_1,1.5243589501778843e-08
1,cholesterol_total,shapiro,amostra_2,2.239061158704203e-09
1,cholesterol_total,shapiro,amostra_3,1.4646987789301846e-10
1,mmse,shapiro,amostra_1,1.0639276126767072e-09
1,mmse,shapiro,amostra_2,1.131734896769876e-11
1,mmse,shapiro,amostra_3,9.59612611595162e-10
1,adl,shapiro,amostra_1,1.1646059984438129e-11
1,adl,shapiro,amostra_2,2.5063510294964786e-12
1,adl,shapiro,amostra_3,2.050278141707551e-10
1,age,kruskal,amostra_1_vs_amostra_2,0.45842471254104733
1,age,kruskal,amostra_1_vs_amostra_3,0.1713425795029808
1,age,kruskal,amostra_2_vs_amostra_3,0.041630184682985814
1,bmi,kruskal,amostra_1_vs_amostra_2,0.4639012948427853
1,bmi,kruskal,amostra_1_vs_amostra_3,0.6927201312697007
1,bmi,kruskal,amostra_2_vs_amostra_3,0.7395758010303259
1,systolic_bp,kruskal,amostra_1_vs_amostra_2,0.9155145710608261
1,systolic_bp,kruskal,amostra_1_vs_amostra_3,0.9047727778438407
1,systolic_bp,kruskal,amostra_2_vs_amostra_3,0.9600402838535236
1,cholesterol_total,kruskal,amostra_1_vs_amostra_2,0.5290683094625395
1,cholesterol_total,kruskal,amostra_1_vs_amostra_3,0.827404472549788
1,cholesterol_total,kruskal,amostra_2_vs_amostra_3,0.6475627259927002
1,mmse,kruskal,amostra_1_vs_amostra_2,0.9219126299244782
1,mmse,kruskal,amostra_1_vs_amostra_3,0.7052104432035051
